postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3061,5059,58,455,1146.5,5,7,22/10/2021,23/10/2021
3062,0,0,1,0,0,0,22/10/2021,23/10/2021
3063,574,2,13,348.4,0,5,22/10/2021,23/10/2021
3064,75458,1108,5956,1468.4,56,7,22/10/2021,23/10/2021
3065,10447,67,246,641.3,2,6,22/10/2021,23/10/2021
3066,8512,51,182,599.2,3,6,22/10/2021,23/10/2021
3067,8199,14,77,170.8,1,4,22/10/2021,23/10/2021
3068,18665,44,210,235.7,4,5,22/10/2021,23/10/2021
3070,24567,61,278,248.3,0,5,22/10/2021,23/10/2021
3071,18569,61,251,328.5,5,5,22/10/2021,23/10/2021
3072,32848,165,552,502.3,12,6,22/10/2021,23/10/2021
3073,50479,326,1114,645.8,25,6,22/10/2021,23/10/2021
3074,20522,204,787,994.1,9,6,22/10/2021,23/10/2021
3075,22594,304,873,1345.5,17,7,22/10/2021,23/10/2021
3076,32395,322,1159,994,21,6,22/10/2021,23/10/2021
3078,11638,37,98,317.9,3,5,22/10/2021,23/10/2021
3079,15990,31,123,193.9,2,4,22/10/2021,23/10/2021
3081,13424,84,440,625.7,9,6,22/10/2021,23/10/2021
3082,29713,174,627,585.6,10,6,22/10/2021,23/10/2021
3083,31526,169,543,536.1,10,6,22/10/2021,23/10/2021
3084,25514,18,145,70.5,1,3,22/10/2021,23/10/2021
3085,13882,21,80,151.3,1,4,22/10/2021,23/10/2021
3086,908,0,0,0,0,0,22/10/2021,23/10/2021
3087,9033,27,85,298.9,0,5,22/10/2021,23/10/2021
3088,26890,59,216,219.4,1,5,22/10/2021,23/10/2021
3089,11739,19,62,161.9,0,4,22/10/2021,23/10/2021
3090,2362,3,63,127,0,4,22/10/2021,23/10/2021
3091,1585,2,6,126.2,1,4,22/10/2021,23/10/2021
3093,3891,11,38,282.7,1,5,22/10/2021,23/10/2021
3094,8963,15,41,167.4,0,4,22/10/2021,23/10/2021
3095,27770,55,132,198.1,5,4,22/10/2021,23/10/2021
3096,1966,3,16,152.6,1,4,22/10/2021,23/10/2021
3097,1443,6,8,415.8,0,5,22/10/2021,23/10/2021
3099,4877,7,25,143.5,1,4,22/10/2021,23/10/2021
3101,24604,22,108,89.4,0,3,22/10/2021,23/10/2021
3102,6634,7,39,105.5,0,4,22/10/2021,23/10/2021
3103,15343,5,39,32.6,0,2,22/10/2021,23/10/2021
3104,20404,36,94,176.4,2,4,22/10/2021,23/10/2021
3105,10877,35,81,321.8,1,5,22/10/2021,23/10/2021
3106,16620,27,112,162.5,0,4,22/10/2021,23/10/2021
3107,13557,27,97,199.2,1,4,22/10/2021,23/10/2021
3108,20823,39,158,187.3,2,4,22/10/2021,23/10/2021
3109,28357,32,148,112.8,2,4,22/10/2021,23/10/2021
3111,12348,12,48,97.2,1,3,22/10/2021,23/10/2021
3113,8460,8,20,94.6,0,3,22/10/2021,23/10/2021
3114,3823,1,18,26.2,1,2,22/10/2021,23/10/2021
3115,3799,6,15,157.9,0,4,22/10/2021,23/10/2021
3116,9872,12,58,121.6,1,4,22/10/2021,23/10/2021
3121,30502,79,350,259,7,5,22/10/2021,23/10/2021
3122,23508,27,113,114.9,0,4,22/10/2021,23/10/2021
3123,14319,6,36,41.9,0,2,22/10/2021,23/10/2021
3124,22091,8,62,36.2,0,2,22/10/2021,23/10/2021
3125,15021,17,71,113.2,0,4,22/10/2021,23/10/2021
3126,8060,8,22,99.3,0,3,22/10/2021,23/10/2021
3127,18445,11,55,59.6,2,3,22/10/2021,23/10/2021
3128,19832,15,89,75.6,1,3,22/10/2021,23/10/2021
3129,17374,20,56,115.1,0,4,22/10/2021,23/10/2021
3130,32171,24,95,74.6,0,3,22/10/2021,23/10/2021
3131,22499,46,90,204.5,1,5,22/10/2021,23/10/2021
3132,16148,9,39,55.7,0,3,22/10/2021,23/10/2021
3133,22119,34,72,153.7,2,4,22/10/2021,23/10/2021
3134,32782,37,130,112.9,2,4,22/10/2021,23/10/2021
3135,19954,35,87,175.4,3,4,22/10/2021,23/10/2021
3136,44373,69,212,155.5,7,4,22/10/2021,23/10/2021
